timestamp_ms,raw_adc
492,-575759.00
583,-575926.00
673,-576053.00
764,-576104.00
855,-576169.00
946,-576214.00
1036,-576266.00
1127,-576437.00
1217,-576516.00
1308,-576564.00
1398,-576605.00
1489,-576533.00
1580,-576494.00
1671,-576465.00
1761,-576470.00
1852,-576549.00
1942,-576592.00
2033,-576521.00
2123,-576492.00
2214,-576491.00
2305,-576509.00
2396,-576423.00
2486,-576348.00
2576,-576342.00
2667,-576341.00
2757,-576344.00
2848,-576345.00
2938,-576303.00
3030,-576119.00
3120,-576041.00
3211,-575164.00
3301,-574025.00
3392,-567897.00
3482,-548111.00
3573,-525703.00
3663,-513838.00
3755,-512114.00
3845,-512975.00
3936,-514357.00
4026,-513958.00
4117,-514296.00
4207,-515314.00
4298,-514491.00
4388,-514430.00
4480,-515321.00
4570,-515507.00
4661,-515479.00
4751,-515623.00
4842,-515720.00
4932,-515766.00
5022,-515834.00
5113,-515821.00
5203,-515762.00
5295,-515828.00
5385,-515986.00
5476,-516237.00
5566,-516447.00
5657,-516447.00
5747,-516466.00
5838,-516571.00
5928,-516589.00
6020,-516523.00
6110,-516511.00
6201,-516539.00
6291,-516659.00
6382,-516837.00
6472,-516931.00
6563,-516949.00
6653,-516923.00
6745,-516890.00
6835,-516765.00
6926,-516334.00
7016,-516196.00
7107,-516502.00
7197,-516818.00
7288,-516989.00
7378,-516894.00
7469,-516776.00
7560,-516771.00
7650,-516834.00
7741,-516796.00
7831,-516657.00
7922,-516599.00
8012,-516644.00
8103,-516680.00
8194,-516829.00
8285,-517631.00
8375,-518279.00
8466,-518260.00
8556,-518297.00
8647,-518307.00
8737,-518213.00
8828,-518149.00
8919,-517879.00
9010,-518350.00
9100,-518583.00
9191,-518515.00
9281,-518800.00
9372,-518529.00
9462,-518078.00
9553,-518131.00
9644,-517886.00
9735,-517641.00
9825,-517853.00
9915,-517834.00
10006,-517976.00
10096,-518156.00
10187,-518049.00
10277,-518050.00
10369,-518122.00
10459,-517891.00
10550,-517816.00
10640,-517901.00
10731,-517911.00
10821,-517954.00
10912,-517940.00
11002,-518099.00
11094,-518264.00
11184,-518531.00
11275,-518935.00
11365,-518921.00
11456,-518667.00
11546,-518810.00
11637,-518801.00
11727,-518935.00
11819,-518682.00
11909,-518536.00
12000,-518833.00
12090,-518847.00
12180,-518789.00
12271,-518578.00
12361,-518476.00
12452,-518615.00
12542,-518575.00
12634,-518602.00
12724,-518656.00
12815,-518577.00
12905,-518655.00
12996,-518723.00
13086,-518384.00
13177,-518402.00
13267,-518502.00
13359,-518507.00
13449,-518618.00
13540,-518806.00
13630,-524316.00
13721,-547616.00
13811,-573660.00
13902,-579533.00
13992,-579390.00
14084,-579062.00
14174,-578604.00
14264,-578015.00
14355,-577533.00
14445,-577173.00
14536,-576740.00
14626,-576307.00
14717,-576233.00
14808,-576082.00
14899,-576086.00
14989,-575724.00
15080,-575395.00
15170,-575300.00
15261,-575279.00
15351,-575317.00
15442,-575327.00
15533,-575317.00
15624,-575303.00
15714,-575326.00
15805,-575308.00
15895,-575355.00
15986,-575347.00
16076,-575376.00
